frame_idx,iou,dice,ssim,area_yolo,area_sam2
0,0.8834908771158496,0.9381419234360411,0.9806349378868666,17341,16931
1,0.8814296728714616,0.9369786025817405,0.97987308259725,17672,16491
2,0.8958180897168909,0.9450464626072499,0.9813162496866139,17546,16137
3,0.8959635196757304,0.945127382861215,0.9813375483170642,17540,16138
4,0.892779238212428,0.9433527378032565,0.9810501244357712,17640,16201
5,0.9000847697089573,0.9474153827850812,0.9818696851224481,17463,16159
6,0.9039932030586236,0.9495760821062026,0.9824353216147372,17437,16178
7,0.9029905591045282,0.9490226368011407,0.9824617878048116,17470,16192
8,0.8965771697791906,0.9454686938824375,0.9819032284615287,17316,16096
9,0.8967533204677035,0.9455666277643116,0.9819318835928158,17317,16100
10,0.8928530913216108,0.9433939648197537,0.9817997020284449,17290,16081
11,0.8984829474164481,0.9465272770968517,0.9823297428765231,17257,16031
12,0.9063940092165899,0.9508989273304125,0.9832215083475294,17141,15954
13,0.9057962664208343,0.9505698823956223,0.983197967303652,17193,15884
14,0.9074246479692774,0.9514657881089655,0.9834687488543375,17034,15747
15,0.9074720670391061,0.9514918542925133,0.9834688768199122,17034,15744
16,0.908649289099526,0.9521385560866596,0.9839374070149243,16711,15507
17,0.9100728010502447,0.9529194913930457,0.9843722821154332,16590,15419
18,0.9133615477629988,0.9547192466900496,0.9848167464888208,16384,15263
19,0.9131501472031404,0.9546037445498846,0.985140803740785,16110,15082
20,0.9074486513239297,0.9514789828749352,0.9845234590262648,15958,14874
21,0.910149956624117,0.952961785505742,0.9848179008942213,15963,14863
22,0.9139452780229479,0.9550380447313811,0.9854968399863405,15691,14668
23,0.9128964329015379,0.9544650899022584,0.9855290912965896,15513,14464
24,0.902984118852459,0.9490190799878857,0.9844512354877422,15428,14289
25,0.9132932880647688,0.9546819546819547,0.9857836223833752,15101,14203
26,0.9111096511398725,0.9534875726219533,0.9860142827053664,14975,14114
27,0.9105252777595162,0.9531674753105537,0.9860083545885281,14983,14078
28,0.9024089344847737,0.9487013208641933,0.9847762620752941,15195,14104
29,0.9085703001579779,0.9520951888256596,0.9855921504876495,14976,14019
30,0.9054880052579691,0.9504001103752759,0.9850975114936958,14994,13998
31,0.9174410774410774,0.9569431762309475,0.986684581098096,14668,13806
32,0.9089205648129559,0.9522874671340928,0.9855234954030572,14824,13701
33,0.9079299277881786,0.9517434729279832,0.9854287561703261,14841,13694
34,0.9227555981647607,0.9598261984471829,0.9871949803370306,14472,13606
35,0.9131732465065798,0.9546163664728408,0.9862762409648763,14635,13569
36,0.9123781148429035,0.954181715175979,0.9860353164942188,14685,13557
37,0.9209108883889002,0.9588272875701,0.9871578957628065,14556,13618
38,0.9270345482929478,0.9621358881335634,0.988021763361503,14665,13726
39,0.9251760563380281,0.9611339734796525,0.9877233873075231,14701,13730
40,0.9206286578549352,0.9586742904098332,0.986974218537998,15139,14068
41,0.9266066921234871,0.9619054017737168,0.9872801168501351,15363,14405
42,0.9263037830302262,0.9617421625711372,0.9873229280431686,15729,14670
43,0.9271118863692998,0.9621775392771708,0.9872157116168928,15986,14948
44,0.9230627306273063,0.9599923246666027,0.9864825393438866,16175,15094
45,0.925750783025241,0.9614440156902765,0.9868808636178206,16183,15174
46,0.9244578313253012,0.96074625931259,0.9865922430010589,16502,15444
47,0.9281131178707225,0.96271646022062,0.9867964314988056,16756,15698
48,0.9280056328111248,0.9626586323381722,0.9864231806944427,16938,15921
49,0.9241055922195207,0.9605560068598249,0.9855157712653226,17183,16054
50,0.9218300954132659,0.9593252781433186,0.9850981172388402,17295,16141
51,0.9254537100849989,0.9612837797530275,0.9856179950865415,17295,16231
52,0.9204545454545454,0.9585798816568047,0.9850091932438083,17298,16164
53,0.9245358928674062,0.9607884127221143,0.9848635982308774,17222,16263
54,0.917818389491719,0.957148387481016,0.9838927876342689,17325,16256
55,0.9177175463623395,0.9570935491549631,0.9838906538977302,17326,16282
56,0.9260476108133033,0.9616040700284303,0.985166362169996,17164,16251
57,0.9228460961394195,0.9598751538069086,0.9846127894163484,17163,16158
58,0.9242484969939879,0.9606332014163715,0.9847522932984177,17327,16280
59,0.9147269217667764,0.9554646266975034,0.9832769960591498,17438,16288
